SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.12403,0.8888888888888888,6,1266,"(1267,)",47
0.12403,0.9600000000000001,6,1267,"(1266,)",47
0.10336,0.7407407407407407,5,1266,"(1247,)",40
0.10336,0.8,5,1267,"(1247,)",40
0.10594,0.6119402985074627,4,956,"(953,)",40
0.10594,0.7592592592592593,4,953,"(956,)",40
0.10336,0.7692307692307692,5,1247,"(1266,)",40
0.10336,0.5970149253731343,3,956,"(951,)",40
0.10336,0.6060606060606061,3,951,"(956,)",40
0.10336,0.7692307692307692,5,1247,"(1267,)",40
0.09044,0.6481481481481481,3,953,"(951,)",35
0.09044,0.5303030303030303,3,951,"(953,)",35
0.0801,0.8157894736842104,8,61,"(65,)",30
0.0801,0.8378378378378378,8,65,"(61,)",30
0.07494,0.7250000000000001,7,64,"(61,)",29
0.07494,0.7631578947368421,7,61,"(64,)",29
0.07494,0.7837837837837839,7,65,"(64,)",29
0.07494,0.7250000000000001,7,64,"(65,)",29
0.07235,0.5714285714285714,5,1324,"(366,)",27
0.07235,0.717948717948718,5,366,"(1324,)",27
0.0646,0.44642857142857145,3,712,"(1348,)",25
0.0646,0.5102040816326531,4,697,"(705,)",25
0.0646,0.5208333333333333,3,1348,"(712,)",25
0.06718,0.43333333333333335,3,703,"(705,)",25
0.06718,0.43333333333333335,3,703,"(697,)",25
0.0646,0.5319148936170213,4,705,"(697,)",25
0.06718,0.5531914893617021,3,705,"(703,)",25
0.0646,0.5319148936170213,4,705,"(710,)",25
0.06718,0.5306122448979592,3,697,"(703,)",25
0.0646,0.8928571428571429,12,255,"(260,)",25
0.0646,0.9259259259259258,12,260,"(255,)",25
0.0646,0.5952380952380952,3,1118,"(1120,)",25
0.0646,0.4032258064516129,3,1120,"(1118,)",25
0.0646,0.5434782608695652,4,710,"(705,)",25
0.05685,0.46808510638297873,3,705,"(1324,)",22
0.05685,0.4782608695652174,3,710,"(703,)",22
0.05685,0.3666666666666667,3,703,"(710,)",22
0.05685,0.44897959183673475,3,1324,"(705,)",22
0.05943,0.7187499999999999,4,954,"(951,)",22
0.05943,0.34848484848484845,4,951,"(954,)",22
0.05168,0.3225806451612903,3,1120,"(65,)",20
0.05168,0.3333333333333333,2,703,"(712,)",20
0.05168,0.37037037037037035,2,1030,"(951,)",20
0.05168,0.30303030303030304,2,951,"(1030,)",20
0.05426,0.33870967741935487,1,1120,"(951,)",20
0.05168,0.35714285714285715,2,712,"(1030,)",20
0.05168,0.42553191489361697,4,705,"(700,)",20
0.05168,0.35714285714285715,2,712,"(703,)",20
0.05426,0.44680851063829785,3,705,"(953,)",20
0.05426,0.3181818181818182,1,951,"(1120,)",20
0.05168,0.3225806451612903,2,1120,"(1030,)",20
0.05426,0.3888888888888889,3,953,"(705,)",20
0.05168,0.2816901408450704,1,1056,"(951,)",20
0.05168,0.30303030303030304,1,951,"(1056,)",20
0.05426,0.28378378378378377,1,982,"(1056,)",20
0.05426,0.29577464788732394,1,1056,"(982,)",20
0.05168,0.37037037037037035,2,1030,"(1120,)",20
0.05168,0.6060606060606061,4,700,"(705,)",20
0.05426,0.4565217391304348,3,710,"(697,)",20
0.05426,0.4285714285714286,3,697,"(710,)",20
0.05168,0.37037037037037035,2,1030,"(712,)",20
0.05426,0.4285714285714286,2,1324,"(703,)",20
0.05168,0.8,14,841,"(842,)",20
0.05426,0.35,2,703,"(1324,)",20
0.05426,0.29577464788732394,1,1056,"(956,)",20
0.05426,0.31343283582089554,1,956,"(1056,)",20
0.05168,0.9090909090909091,14,842,"(841,)",20
0.05168,0.5405405405405406,3,65,"(1120,)",20
0.0491,0.47500000000000003,2,64,"(1120,)",19
0.0491,0.2878787878787879,1,951,"(712,)",19
0.0491,0.28358208955223885,1,956,"(1120,)",19
0.0491,0.3064516129032258,2,1120,"(64,)",19
0.0491,0.47500000000000003,2,64,"(951,)",19
